x-axis,1,2,3
second,Volt,Volt,Volt
-57.50000E-03,+1.41250002E+00,+1.93750000E+00,+2.06874990E+00
-57.45000E-03,+1.41250002E+00,+1.96875000E+00,+2.03749990E+00
-57.40000E-03,+1.38125002E+00,+2.00000000E+00,+1.97499990E+00
-57.35000E-03,+1.35000002E+00,+2.00000000E+00,+1.94374990E+00
-57.30000E-03,+1.41250002E+00,+1.96875000E+00,+1.88124990E+00
-57.25000E-03,+1.41250002E+00,+1.93750000E+00,+1.78749990E+00
-57.20000E-03,+1.35000002E+00,+1.87500000E+00,+1.72499990E+00
-57.15000E-03,+1.38125002E+00,+1.78125000E+00,+1.66249990E+00
-57.10000E-03,+1.31875002E+00,+1.71875000E+00,+1.56874990E+00
-57.05000E-03,+1.31875002E+00,+1.65625000E+00,+1.50624990E+00
-57.00000E-03,+1.35000002E+00,+1.62500000E+00,+1.38124990E+00
-56.95000E-03,+1.31875002E+00,+1.53125000E+00,+1.38124990E+00
-56.90000E-03,+1.28750002E+00,+1.46875000E+00,+1.28749990E+00
-56.85000E-03,+1.28750002E+00,+1.37500000E+00,+1.25624990E+00
-56.80000E-03,+1.22500002E+00,+1.34375000E+00,+1.22499990E+00
-56.75000E-03,+1.25625002E+00,+1.28125000E+00,+1.16249990E+00
-56.70000E-03,+1.19375002E+00,+1.21875000E+00,+1.16249990E+00
-56.65000E-03,+1.22500002E+00,+1.18750000E+00,+1.13124990E+00
-56.60000E-03,+1.19375002E+00,+1.15625000E+00,+1.13124990E+00
-56.55000E-03,+1.16250002E+00,+1.12500000E+00,+1.03749990E+00
-56.50000E-03,+1.16250002E+00,+1.09375000E+00,+1.09999990E+00
-56.45000E-03,+1.10000002E+00,+1.09375000E+00,+1.06874990E+00
-56.40000E-03,+1.13125002E+00,+1.09375000E+00,+1.06874990E+00
-56.35000E-03,+1.10000002E+00,+1.06250000E+00,+1.06874990E+00
-56.30000E-03,+1.06875002E+00,+1.06250000E+00,+1.03749990E+00
-56.25000E-03,+1.03750002E+00,+1.09375000E+00,+1.03749990E+00
-56.20000E-03,+1.00625002E+00,+1.06250000E+00,+1.06874990E+00
-56.15000E-03,+975.00002E-03,+1.06250000E+00,+1.03749990E+00
-56.10000E-03,+1.00625002E+00,+1.06250000E+00,+1.00624990E+00
-56.05000E-03,+943.75002E-03,+1.06250000E+00,+1.03749990E+00
-56.00000E-03,+912.50002E-03,+1.03125000E+00,+1.00624990E+00
-55.95000E-03,+912.50002E-03,+1.06250000E+00,+1.03749990E+00
-55.90000E-03,+881.25002E-03,+1.03125000E+00,+943.74990E-03
-55.85000E-03,+850.00002E-03,+968.75000E-03,+943.74990E-03
-55.80000E-03,+881.25002E-03,+1.00000000E+00,+912.49990E-03
-55.75000E-03,+850.00002E-03,+968.75000E-03,+943.74990E-03
-55.70000E-03,+818.75002E-03,+937.50000E-03,+881.24990E-03
-55.65000E-03,+818.75002E-03,+906.25000E-03,+881.24990E-03
-55.60000E-03,+756.25002E-03,+906.25000E-03,+849.99990E-03
-55.55000E-03,+756.25002E-03,+906.25000E-03,+818.74990E-03
-55.50000E-03,+725.00002E-03,+875.00000E-03,+818.74990E-03
-55.45000E-03,+725.00002E-03,+843.75000E-03,+787.49990E-03
-55.40000E-03,+725.00002E-03,+781.25000E-03,+724.99990E-03
-55.35000E-03,+725.00002E-03,+812.50000E-03,+818.74990E-03
-55.30000E-03,+693.75002E-03,+781.25000E-03,+724.99990E-03
-55.25000E-03,+693.75002E-03,+750.00000E-03,+662.49990E-03
-55.20000E-03,+693.75002E-03,+750.00000E-03,+724.99990E-03
-55.15000E-03,+662.50002E-03,+687.50000E-03,+662.49990E-03
-55.10000E-03,+693.75002E-03,+687.50000E-03,+693.74990E-03
-55.05000E-03,+693.75002E-03,+687.50000E-03,+631.24990E-03
-55.00000E-03,+693.75002E-03,+687.50000E-03,+631.24990E-03
-54.95000E-03,+725.00002E-03,+656.25000E-03,+662.49990E-03
-54.90000E-03,+725.00002E-03,+625.00000E-03,+631.24990E-03
-54.85000E-03,+787.50002E-03,+687.50000E-03,+693.74990E-03
-54.80000E-03,+756.25002E-03,+687.50000E-03,+662.49990E-03
-54.75000E-03,+787.50002E-03,+656.25000E-03,+724.99990E-03
-54.70000E-03,+818.75002E-03,+718.75000E-03,+693.74990E-03
-54.65000E-03,+850.00002E-03,+718.75000E-03,+756.24990E-03
-54.60000E-03,+912.50002E-03,+718.75000E-03,+756.24990E-03
-54.55000E-03,+912.50002E-03,+750.00000E-03,+787.49990E-03
-54.50000E-03,+975.00002E-03,+781.25000E-03,+849.99990E-03
-54.45000E-03,+1.00625002E+00,+781.25000E-03,+881.24990E-03
-54.40000E-03,+1.03750002E+00,+843.75000E-03,+943.74990E-03
-54.35000E-03,+1.13125002E+00,+875.00000E-03,+943.74990E-03
-54.30000E-03,+1.19375002E+00,+937.50000E-03,+1.03749990E+00
-54.25000E-03,+1.19375002E+00,+968.75000E-03,+1.06874990E+00
-54.20000E-03,+1.25625002E+00,+1.00000000E+00,+1.16249990E+00
-54.15000E-03,+1.35000002E+00,+1.06250000E+00,+1.19374990E+00
-54.10000E-03,+1.38125002E+00,+1.12500000E+00,+1.22499990E+00
-54.05000E-03,+1.50625002E+00,+1.15625000E+00,+1.31874990E+00
-54.00000E-03,+1.56875002E+00,+1.25000000E+00,+1.34999990E+00
-53.95000E-03,+1.60000002E+00,+1.31250000E+00,+1.47499990E+00
-53.90000E-03,+1.69375002E+00,+1.37500000E+00,+1.53749990E+00
-53.85000E-03,+1.72500002E+00,+1.46875000E+00,+1.59999990E+00
-53.80000E-03,+1.81875002E+00,+1.50000000E+00,+1.63124990E+00
-53.75000E-03,+1.91250002E+00,+1.59375000E+00,+1.75624990E+00
-53.70000E-03,+1.91250002E+00,+1.62500000E+00,+1.84999990E+00
-53.65000E-03,+2.03750002E+00,+1.71875000E+00,+1.91249990E+00
-53.60000E-03,+2.06875002E+00,+1.81250000E+00,+1.94374990E+00
-53.55000E-03,+2.19375002E+00,+1.90625000E+00,+2.03749990E+00
-53.50000E-03,+2.22500002E+00,+1.96875000E+00,+2.16249990E+00
-53.45000E-03,+2.25625002E+00,+2.03125000E+00,+2.22499990E+00
-53.40000E-03,+2.35000002E+00,+2.12500000E+00,+2.25624990E+00
-53.35000E-03,+2.35000002E+00,+2.15625000E+00,+2.34999990E+00
-53.30000E-03,+2.41250002E+00,+2.31250000E+00,+2.41249990E+00
-53.25000E-03,+2.44375002E+00,+2.31250000E+00,+2.47499990E+00
-53.20000E-03,+2.47500002E+00,+2.37500000E+00,+2.50624990E+00
-53.15000E-03,+2.50625002E+00,+2.43750000E+00,+2.56874990E+00
-53.10000E-03,+2.50625002E+00,+2.50000000E+00,+2.63124990E+00
-53.05000E-03,+2.53750002E+00,+2.50000000E+00,+2.63124990E+00
-53.00000E-03,+2.56875002E+00,+2.59375000E+00,+2.66249990E+00
-52.95000E-03,+2.53750002E+00,+2.62500000E+00,+2.69374990E+00
-52.90000E-03,+2.47500002E+00,+2.62500000E+00,+2.75624990E+00
-52.85000E-03,+2.47500002E+00,+2.68750000E+00,+2.72499990E+00
-52.80000E-03,+2.47500002E+00,+2.65625000E+00,+2.72499990E+00
-52.75000E-03,+2.41250002E+00,+2.68750000E+00,+2.69374990E+00
-52.70000E-03,+2.41250002E+00,+2.68750000E+00,+2.66249990E+00
-52.65000E-03,+2.38125002E+00,+2.68750000E+00,+2.66249990E+00
-52.60000E-03,+2.28750002E+00,+2.65625000E+00,+2.59999990E+00
-52.55000E-03,+2.22500002E+00,+2.62500000E+00,+2.53749990E+00
-52.50000E-03,+2.16250002E+00,+2.62500000E+00,+2.47499990E+00
-52.45000E-03,+2.06875002E+00,+2.53125000E+00,+2.44374990E+00
-52.40000E-03,+2.00625002E+00,+2.53125000E+00,+2.38124990E+00
-52.35000E-03,+1.91250002E+00,+2.43750000E+00,+2.25624990E+00
-52.30000E-03,+1.85000002E+00,+2.37500000E+00,+2.16249990E+00
-52.25000E-03,+1.75625002E+00,+2.28125000E+00,+2.06874990E+00
-52.20000E-03,+1.66250002E+00,+2.21875000E+00,+2.00624990E+00
-52.15000E-03,+1.56875002E+00,+2.12500000E+00,+1.94374990E+00
-52.10000E-03,+1.47500002E+00,+2.03125000E+00,+1.81874990E+00
-52.05000E-03,+1.38125002E+00,+1.87500000E+00,+1.66249990E+00
-52.00000E-03,+1.31875002E+00,+1.81250000E+00,+1.56874990E+00
-51.95000E-03,+1.19375002E+00,+1.71875000E+00,+1.50624990E+00
-51.90000E-03,+1.13125002E+00,+1.62500000E+00,+1.34999990E+00
-51.85000E-03,+1.06875002E+00,+1.50000000E+00,+1.22499990E+00
-51.80000E-03,+1.00625002E+00,+1.40625000E+00,+1.13124990E+00
-51.75000E-03,+881.25002E-03,+1.25000000E+00,+1.03749990E+00
-51.70000E-03,+818.75002E-03,+1.15625000E+00,+943.74990E-03
-51.65000E-03,+787.50002E-03,+1.06250000E+00,+818.74990E-03
-51.60000E-03,+725.00002E-03,+1.00000000E+00,+724.99990E-03
-51.55000E-03,+725.00002E-03,+875.00000E-03,+693.74990E-03
-51.50000E-03,+662.50002E-03,+812.50000E-03,+599.99990E-03
-51.45000E-03,+725.00002E-03,+750.00000E-03,+568.74990E-03
-51.40000E-03,+725.00002E-03,+687.50000E-03,+506.24990E-03
-51.35000E-03,+725.00002E-03,+593.75000E-03,+474.99990E-03
-51.30000E-03,+756.25002E-03,+593.75000E-03,+474.99990E-03
-51.25000E-03,+756.25002E-03,+500.00000E-03,+474.99990E-03
-51.20000E-03,+818.75002E-03,+500.00000E-03,+506.24990E-03
-51.15000E-03,+850.00002E-03,+468.75000E-03,+537.49990E-03
-51.10000E-03,+975.00002E-03,+562.50000E-03,+537.49990E-03
-51.05000E-03,+1.00625002E+00,+531.25000E-03,+599.99990E-03
-51.00000E-03,+1.10000002E+00,+562.50000E-03,+662.49990E-03
-50.95000E-03,+1.22500002E+00,+593.75000E-03,+756.24990E-03
-50.90000E-03,+1.28750002E+00,+687.50000E-03,+849.99990E-03
-50.85000E-03,+1.41250002E+00,+750.00000E-03,+974.99990E-03
-50.80000E-03,+1.50625002E+00,+875.00000E-03,+1.06874990E+00
-50.75000E-03,+1.63125002E+00,+968.75000E-03,+1.16249990E+00
-50.70000E-03,+1.69375002E+00,+1.03125000E+00,+1.31874990E+00
-50.65000E-03,+1.85000002E+00,+1.15625000E+00,+1.47499990E+00
-50.60000E-03,+1.94375002E+00,+1.31250000E+00,+1.59999990E+00
-50.55000E-03,+2.03750002E+00,+1.40625000E+00,+1.72499990E+00
-50.50000E-03,+2.16250002E+00,+1.56250000E+00,+1.88124990E+00
-50.45000E-03,+2.22500002E+00,+1.68750000E+00,+2.03749990E+00
-50.40000E-03,+2.35000002E+00,+1.84375000E+00,+2.16249990E+00
-50.35000E-03,+2.38125002E+00,+1.96875000E+00,+2.28749990E+00
-50.30000E-03,+2.41250002E+00,+2.12500000E+00,+2.41249990E+00
-50.25000E-03,+2.50625002E+00,+2.21875000E+00,+2.50624990E+00
-50.20000E-03,+2.47500002E+00,+2.34375000E+00,+2.63124990E+00
-50.15000E-03,+2.53750002E+00,+2.43750000E+00,+2.72499990E+00
-50.10000E-03,+2.53750002E+00,+2.56250000E+00,+2.78749990E+00
-50.05000E-03,+2.50625002E+00,+2.62500000E+00,+2.84999990E+00
-50.00000E-03,+2.47500002E+00,+2.68750000E+00,+2.88124990E+00
-49.95000E-03,+2.44375002E+00,+2.75000000E+00,+2.88124990E+00
-49.90000E-03,+2.38125002E+00,+2.81250000E+00,+2.88124990E+00
-49.85000E-03,+2.38125002E+00,+2.78125000E+00,+2.84999990E+00
-49.80000E-03,+2.25625002E+00,+2.81250000E+00,+2.81874990E+00
-49.75000E-03,+2.19375002E+00,+2.81250000E+00,+2.72499990E+00
-49.70000E-03,+2.03750002E+00,+2.78125000E+00,+2.66249990E+00
-49.65000E-03,+1.94375002E+00,+2.75000000E+00,+2.59999990E+00
-49.60000E-03,+1.81875002E+00,+2.65625000E+00,+2.44374990E+00
-49.55000E-03,+1.69375002E+00,+2.56250000E+00,+2.31874990E+00
-49.50000E-03,+1.56875002E+00,+2.46875000E+00,+2.19374990E+00
-49.45000E-03,+1.44375002E+00,+2.37500000E+00,+2.03749990E+00
-49.40000E-03,+1.35000002E+00,+2.18750000E+00,+1.88124990E+00
-49.35000E-03,+1.19375002E+00,+2.06250000E+00,+1.72499990E+00
-49.30000E-03,+1.13125002E+00,+1.93750000E+00,+1.56874990E+00
-49.25000E-03,+1.03750002E+00,+1.75000000E+00,+1.41249990E+00
-49.20000E-03,+912.50002E-03,+1.59375000E+00,+1.19374990E+00
-49.15000E-03,+881.25002E-03,+1.43750000E+00,+1.03749990E+00
-49.10000E-03,+787.50002E-03,+1.28125000E+00,+912.49990E-03
-49.05000E-03,+725.00002E-03,+1.12500000E+00,+787.49990E-03
-49.00000E-03,+725.00002E-03,+1.00000000E+00,+662.49990E-03
-48.95000E-03,+662.50002E-03,+843.75000E-03,+537.49990E-03
-48.90000E-03,+725.00002E-03,+750.00000E-03,+443.74990E-03
-48.85000E-03,+662.50002E-03,+593.75000E-03,+381.24990E-03
-48.80000E-03,+787.50002E-03,+531.25000E-03,+381.24990E-03
-48.75000E-03,+818.75002E-03,+468.75000E-03,+349.99990E-03
-48.70000E-03,+912.50002E-03,+406.25000E-03,+349.99990E-03
-48.65000E-03,+1.00625002E+00,+406.25000E-03,+349.99990E-03
-48.60000E-03,+1.06875002E+00,+437.50000E-03,+412.49990E-03
-48.55000E-03,+1.19375002E+00,+406.25000E-03,+537.49990E-03
-48.50000E-03,+1.31875002E+00,+468.75000E-03,+631.24990E-03
-48.45000E-03,+1.44375002E+00,+562.50000E-03,+693.74990E-03
-48.40000E-03,+1.60000002E+00,+656.25000E-03,+912.49990E-03
-48.35000E-03,+1.78750002E+00,+718.75000E-03,+1.00624990E+00
-48.30000E-03,+1.88125002E+00,+875.00000E-03,+1.19374990E+00
-48.25000E-03,+1.94375002E+00,+1.03125000E+00,+1.38124990E+00
-48.20000E-03,+2.13125002E+00,+1.15625000E+00,+1.53749990E+00
-48.15000E-03,+2.22500002E+00,+1.37500000E+00,+1.75624990E+00
-48.10000E-03,+2.28750002E+00,+1.50000000E+00,+1.97499990E+00
-48.05000E-03,+2.41250002E+00,+1.71875000E+00,+2.16249990E+00
-48.00000E-03,+2.50625002E+00,+1.90625000E+00,+2.34999990E+00
-47.95000E-03,+2.50625002E+00,+2.09375000E+00,+2.47499990E+00
-47.90000E-03,+2.53750002E+00,+2.21875000E+00,+2.63124990E+00
-47.85000E-03,+2.53750002E+00,+2.40625000E+00,+2.75624990E+00
-47.80000E-03,+2.50625002E+00,+2.50000000E+00,+2.84999990E+00
-47.75000E-03,+2.44375002E+00,+2.62500000E+00,+2.94374990E+00
-47.70000E-03,+2.41250002E+00,+2.75000000E+00,+2.97499990E+00
-47.65000E-03,+2.35000002E+00,+2.81250000E+00,+2.97499990E+00
-47.60000E-03,+2.25625002E+00,+2.87500000E+00,+2.97499990E+00
-47.55000E-03,+2.13125002E+00,+2.90625000E+00,+2.94374990E+00
-47.50000E-03,+2.03750002E+00,+2.93750000E+00,+2.88124990E+00
-47.45000E-03,+1.91250002E+00,+2.87500000E+00,+2.75624990E+00
-47.40000E-03,+1.78750002E+00,+2.81250000E+00,+2.66249990E+00
-47.35000E-03,+1.63125002E+00,+2.71875000E+00,+2.47499990E+00
-47.30000E-03,+1.44375002E+00,+2.65625000E+00,+2.31874990E+00
-47.25000E-03,+1.31875002E+00,+2.53125000E+00,+2.13124990E+00
-47.20000E-03,+1.19375002E+00,+2.34375000E+00,+1.91249990E+00
-47.15000E-03,+1.10000002E+00,+2.15625000E+00,+1.72499990E+00
-47.10000E-03,+943.75002E-03,+2.00000000E+00,+1.50624990E+00
-47.05000E-03,+881.25002E-03,+1.78125000E+00,+1.34999990E+00
-47.00000E-03,+818.75002E-03,+1.59375000E+00,+1.13124990E+00
-46.95000E-03,+756.25002E-03,+1.37500000E+00,+943.74990E-03
-46.90000E-03,+725.00002E-03,+1.21875000E+00,+787.49990E-03
-46.85000E-03,+662.50002E-03,+1.03125000E+00,+568.74990E-03
-46.80000E-03,+693.75002E-03,+812.50000E-03,+506.24990E-03
-46.75000E-03,+725.00002E-03,+687.50000E-03,+381.24990E-03
-46.70000E-03,+818.75002E-03,+562.50000E-03,+287.49990E-03
-46.65000E-03,+943.75002E-03,+468.75000E-03,+287.49990E-03
-46.60000E-03,+1.00625002E+00,+406.25000E-03,+256.24990E-03
-46.55000E-03,+1.10000002E+00,+375.00000E-03,+318.74990E-03
-46.50000E-03,+1.22500002E+00,+343.75000E-03,+381.24990E-03
-46.45000E-03,+1.38125002E+00,+343.75000E-03,+443.74990E-03
-46.40000E-03,+1.53750002E+00,+437.50000E-03,+599.99990E-03
-46.35000E-03,+1.69375002E+00,+500.00000E-03,+724.99990E-03
-46.30000E-03,+1.85000002E+00,+593.75000E-03,+912.49990E-03
-46.25000E-03,+1.97500002E+00,+750.00000E-03,+1.13124990E+00
-46.20000E-03,+2.10000002E+00,+906.25000E-03,+1.31874990E+00
-46.15000E-03,+2.22500002E+00,+1.09375000E+00,+1.53749990E+00
-46.10000E-03,+2.35000002E+00,+1.28125000E+00,+1.78749990E+00
-46.05000E-03,+2.41250002E+00,+1.50000000E+00,+1.97499990E+00
-46.00000E-03,+2.47500002E+00,+1.71875000E+00,+2.19374990E+00
-45.95000E-03,+2.50625002E+00,+1.90625000E+00,+2.41249990E+00
-45.90000E-03,+2.53750002E+00,+2.09375000E+00,+2.59999990E+00
-45.85000E-03,+2.53750002E+00,+2.28125000E+00,+2.75624990E+00
-45.80000E-03,+2.44375002E+00,+2.46875000E+00,+2.88124990E+00
-45.75000E-03,+2.41250002E+00,+2.59375000E+00,+2.94374990E+00
-45.70000E-03,+2.35000002E+00,+2.75000000E+00,+3.00624990E+00
-45.65000E-03,+2.22500002E+00,+2.84375000E+00,+3.00624990E+00
-45.60000E-03,+2.10000002E+00,+2.87500000E+00,+3.00624990E+00
-45.55000E-03,+1.97500002E+00,+2.90625000E+00,+2.94374990E+00
-45.50000E-03,+1.78750002E+00,+2.93750000E+00,+2.88124990E+00
-45.45000E-03,+1.63125002E+00,+2.90625000E+00,+2.72499990E+00
-45.40000E-03,+1.50625002E+00,+2.81250000E+00,+2.56874990E+00
-45.35000E-03,+1.28750002E+00,+2.68750000E+00,+2.38124990E+00
-45.30000E-03,+1.19375002E+00,+2.53125000E+00,+2.16249990E+00
-45.25000E-03,+1.03750002E+00,+2.37500000E+00,+1.94374990E+00
-45.20000E-03,+912.50002E-03,+2.18750000E+00,+1.78749990E+00
-45.15000E-03,+850.00002E-03,+2.03125000E+00,+1.47499990E+00
-45.10000E-03,+787.50002E-03,+1.75000000E+00,+1.22499990E+00
-45.05000E-03,+693.75002E-03,+1.56250000E+00,+1.00624990E+00
-45.00000E-03,+693.75002E-03,+1.31250000E+00,+849.99990E-03
-44.95000E-03,+693.75002E-03,+1.09375000E+00,+662.49990E-03
-44.90000E-03,+787.50002E-03,+937.50000E-03,+506.24990E-03
-44.85000E-03,+818.75002E-03,+750.00000E-03,+412.49990E-03
-44.80000E-03,+943.75002E-03,+625.00000E-03,+318.74990E-03
-44.75000E-03,+1.03750002E+00,+531.25000E-03,+256.24990E-03
-44.70000E-03,+1.16250002E+00,+437.50000E-03,+287.49990E-03
-44.65000E-03,+1.31875002E+00,+375.00000E-03,+318.74990E-03
-44.60000E-03,+1.47500002E+00,+375.00000E-03,+412.49990E-03
-44.55000E-03,+1.66250002E+00,+406.25000E-03,+537.49990E-03
-44.50000E-03,+1.81875002E+00,+468.75000E-03,+662.49990E-03
-44.45000E-03,+1.97500002E+00,+562.50000E-03,+849.99990E-03
-44.40000E-03,+2.10000002E+00,+718.75000E-03,+1.06874990E+00
-44.35000E-03,+2.25625002E+00,+906.25000E-03,+1.28749990E+00
-44.30000E-03,+2.38125002E+00,+1.09375000E+00,+1.53749990E+00
-44.25000E-03,+2.41250002E+00,+1.28125000E+00,+1.78749990E+00
-44.20000E-03,+2.53750002E+00,+1.50000000E+00,+2.00624990E+00
-44.15000E-03,+2.50625002E+00,+1.75000000E+00,+2.25624990E+00
-44.10000E-03,+2.50625002E+00,+1.90625000E+00,+2.44374990E+00
-44.05000E-03,+2.50625002E+00,+2.18750000E+00,+2.69374990E+00
-44.00000E-03,+2.41250002E+00,+2.37500000E+00,+2.78749990E+00
-43.95000E-03,+2.31875002E+00,+2.53125000E+00,+2.94374990E+00
-43.90000E-03,+2.22500002E+00,+2.68750000E+00,+3.00624990E+00
-43.85000E-03,+2.06875002E+00,+2.78125000E+00,+3.00624990E+00
-43.80000E-03,+1.97500002E+00,+2.87500000E+00,+2.97499990E+00
-43.75000E-03,+1.81875002E+00,+2.90625000E+00,+2.94374990E+00
-43.70000E-03,+1.56875002E+00,+2.87500000E+00,+2.81874990E+00
-43.65000E-03,+1.47500002E+00,+2.84375000E+00,+2.66249990E+00
-43.60000E-03,+1.25625002E+00,+2.75000000E+00,+2.50624990E+00
-43.55000E-03,+1.13125002E+00,+2.62500000E+00,+2.31874990E+00
-43.50000E-03,+1.00625002E+00,+2.50000000E+00,+2.06874990E+00
-43.45000E-03,+881.25002E-03,+2.28125000E+00,+1.78749990E+00
-43.40000E-03,+756.25002E-03,+2.09375000E+00,+1.56874990E+00
-43.35000E-03,+756.25002E-03,+1.84375000E+00,+1.31874990E+00
-43.30000E-03,+693.75002E-03,+1.62500000E+00,+1.09999990E+00
-43.25000E-03,+725.00002E-03,+1.37500000E+00,+881.24990E-03
-43.20000E-03,+756.25002E-03,+1.18750000E+00,+662.49990E-03
-43.15000E-03,+818.75002E-03,+968.75000E-03,+537.49990E-03
-43.10000E-03,+943.75002E-03,+812.50000E-03,+412.49990E-03
-43.05000E-03,+1.03750002E+00,+625.00000E-03,+349.99990E-03
-43.00000E-03,+1.22500002E+00,+531.25000E-03,+287.49990E-03
-42.95000E-03,+1.38125002E+00,+468.75000E-03,+287.49990E-03
-42.90000E-03,+1.56875002E+00,+468.75000E-03,+443.74990E-03
-42.85000E-03,+1.72500002E+00,+437.50000E-03,+537.49990E-03
-42.80000E-03,+1.88125002E+00,+500.00000E-03,+599.99990E-03
-42.75000E-03,+2.03750002E+00,+562.50000E-03,+849.99990E-03
-42.70000E-03,+2.19375002E+00,+718.75000E-03,+1.03749990E+00
-42.65000E-03,+2.31875002E+00,+843.75000E-03,+1.28749990E+00
-42.60000E-03,+2.41250002E+00,+1.06250000E+00,+1.47499990E+00
-42.55000E-03,+2.47500002E+00,+1.28125000E+00,+1.78749990E+00
-42.50000E-03,+2.50625002E+00,+1.50000000E+00,+2.06874990E+00
-42.45000E-03,+2.50625002E+00,+1.68750000E+00,+2.25624990E+00
-42.40000E-03,+2.50625002E+00,+1.90625000E+00,+2.47499990E+00
-42.35000E-03,+2.38125002E+00,+2.15625000E+00,+2.66249990E+00
-42.30000E-03,+2.31875002E+00,+2.34375000E+00,+2.78749990E+00
-42.25000E-03,+2.16250002E+00,+2.50000000E+00,+2.91249990E+00
-42.20000E-03,+2.00625002E+00,+2.62500000E+00,+2.94374990E+00
-42.15000E-03,+1.81875002E+00,+2.71875000E+00,+2.91249990E+00
-42.10000E-03,+1.69375002E+00,+2.78125000E+00,+2.91249990E+00
-42.05000E-03,+1.50625002E+00,+2.78125000E+00,+2.78749990E+00
-42.00000E-03,+1.28750002E+00,+2.81250000E+00,+2.66249990E+00
-41.95000E-03,+1.16250002E+00,+2.65625000E+00,+2.47499990E+00
-41.90000E-03,+1.00625002E+00,+2.56250000E+00,+2.25624990E+00
-41.85000E-03,+881.25002E-03,+2.43750000E+00,+2.03749990E+00
-41.80000E-03,+787.50002E-03,+2.25000000E+00,+1.81874990E+00
-41.75000E-03,+756.25002E-03,+2.06250000E+00,+1.53749990E+00
-41.70000E-03,+693.75002E-03,+1.84375000E+00,+1.28749990E+00
-41.65000E-03,+756.25002E-03,+1.62500000E+00,+1.03749990E+00
-41.60000E-03,+787.50002E-03,+1.34375000E+00,+849.99990E-03
-41.55000E-03,+881.25002E-03,+1.15625000E+00,+662.49990E-03
-41.50000E-03,+975.00002E-03,+968.75000E-03,+506.24990E-03
-41.45000E-03,+1.13125002E+00,+781.25000E-03,+443.74990E-03
-41.40000E-03,+1.25625002E+00,+656.25000E-03,+412.49990E-03
-41.35000E-03,+1.47500002E+00,+562.50000E-03,+412.49990E-03
-41.30000E-03,+1.63125002E+00,+500.00000E-03,+443.74990E-03
-41.25000E-03,+1.81875002E+00,+531.25000E-03,+537.49990E-03
-41.20000E-03,+2.03750002E+00,+562.50000E-03,+693.74990E-03
-41.15000E-03,+2.16250002E+00,+625.00000E-03,+881.24990E-03
-41.10000E-03,+2.31875002E+00,+781.25000E-03,+1.06874990E+00
-41.05000E-03,+2.41250002E+00,+937.50000E-03,+1.34999990E+00
-41.00000E-03,+2.47500002E+00,+1.09375000E+00,+1.56874990E+00
-40.95000E-03,+2.53750002E+00,+1.31250000E+00,+1.81874990E+00
-40.90000E-03,+2.50625002E+00,+1.53125000E+00,+2.06874990E+00
-40.85000E-03,+2.47500002E+00,+1.78125000E+00,+2.25624990E+00
